sample	cluster	domain	phylum	class	order	family	genus	species
MGYG000001256	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-354	s__CAG-354 sp001915925
MGYG000001257	1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Massiliomicrobiota	s__Massiliomicrobiota sp002160865
MGYG000001259	1	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Succiniclasticum	s__Succiniclasticum sp900316935
MGYG000001266	1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Atlantibacter	s__Atlantibacter hermannii
MGYG000001267	3	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella	s__Lancefieldella sp902373375
MGYG000001271	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__UBA644	g__UBA644	s__UBA644 sp002299265
MGYG000001274	3	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sp902373455
MGYG000001278	3	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__DNF00809	s__DNF00809 sp001552935
MGYG000001281	1	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Megasphaeraceae	g__28L	s__28L sp000177555
MGYG000001283	3	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Scardovia	s__Scardovia wiggsiae
MGYG000001287	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium vaginale_G
MGYG000001288	1	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella dispar
MGYG000001289	3	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sp900543065
MGYG000001291	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Finegoldia	s__Finegoldia magna_H
MGYG000001292	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium infantis
MGYG000001293	3	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lacticaseibacillus	s__Lacticaseibacillus rhamnosus
MGYG000001296	3	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Pediococcus	s__Pediococcus acidilactici
MGYG000001298	1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Listeriaceae	g__Listeria	s__Listeria grayi
MGYG000001301	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Parvimonas	s__Parvimonas micra
MGYG000001306	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola
MGYG000001307	1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Providencia	s__Providencia stuartii
MGYG000001308	3	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus infantarius
MGYG000001309	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_F	s__Clostridium_F botulinum_A
MGYG000001317	1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter portucalensis_A
MGYG000001318	1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter cancerogenus
MGYG000001320	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptacetobacter	s__Peptacetobacter hiranonis
MGYG000001321	2	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio piger
MGYG000001322	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger variabilis
MGYG000001323	1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Providencia	s__Providencia rettgeri_D
MGYG000001324	1	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium periodonticum_D
MGYG000001325	1	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_C	s__Fusobacterium_C gonidiaformans
MGYG000001326	1	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium animalis
MGYG000001328	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium tertium
MGYG000001333	3	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lentilactobacillus	s__Lentilactobacillus hilgardii
MGYG000001334	3	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus ruminis
MGYG000001335	3	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus ultunensis
MGYG000001336	1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus reuteri_E
MGYG000001340	3	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella	s__Weissella paramesenteroides
MGYG000001341	3	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc mesenteroides
MGYG000001342	3	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gordonii
MGYG000001347	1	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium vincentii
MGYG000001349	1	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella parvula_A
MGYG000001350	1	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium periodonticum_B
MGYG000001351	1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Edwardsiella	s__Edwardsiella tarda
MGYG000001353	3	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella aerofaciens
MGYG000001354	3	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium dentium
MGYG000001355	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Anaerococcus	s__Anaerococcus hydrogenalis
MGYG000001359	2	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__Bilophila wadsworthia
MGYG000001361	1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Sutterella	s__Sutterella wadsworthensis
